n_caso;Sexo;idade;grupoet;habilit;p1;p2;p3;p4;p5a;p5b;p5c;p5d;p5e;p5f;p5g;p5h;p5i;p5j;p5k;pb;pc;pd;pe
29;Feminino;24;< 25 anos;ensino médio e superior;Regional;30;Ler tudo com atenção;4;Concordo;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;diários e semanários;12;30;a capital
47;Masculino;38;de 35 a 39 anos;até ensino secundário;Regional;45;Ler tudo com atenção;7;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;diários e semanários;15;55;público
57;Masculino;41;de 40 a 44 anos;até ensino secundário;Regional;105;Ler tudo com atenção;6;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;diários e semanários;10;90;correio da manhã
58;Masculino;41;de 40 a 44 anos;até ensino secundário;Regional;105;Ler tudo com atenção;6;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;10;120;correio da manhã
86;Masculino;99;9;ensino médio e superior;Regional;60;Ler tudo com atenção;8;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo;Concordo;diários e semanários;2;60;diário de notícias
89;Masculino;28;de 25 a 29 anos;ensino médio e superior;Regional;50;Ler tudo com atenção;6;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;diários e semanários;12;60;diário de notícias
24;Feminino;32;de 30 a 34 anos;ensino médio e superior;Sol;60;Ler tudo com atenção;6;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;diários e semanários;7;70;público
27;Feminino;35;de 35 a 39 anos;ensino médio e superior;Sol;45;Ler tudo com atenção;5;Concordo completamente;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Discordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;3;55;a capital
63;Masculino;33;de 30 a 34 anos;até ensino secundário;Sol;60;Ler tudo com atenção;5;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;5;60;diário de notícias
64;Masculino;31;de 30 a 34 anos;até ensino secundário;Sol;60;Ler tudo com atenção;5;Concordo completamente;Concordo completamente;Discordo completamente;Concordo completamente;Discordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Discordo;diários e semanários;6;75;diário de notícias
79;Masculino;25;de 25 a 29 anos;ensino médio e superior;Sol;30;Ler tudo com atenção;12;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;diários e semanários;4;35;a capital
